case_id,series,status,date,machine,parent,mesh,cells,np,delta,purpose,sim_time_s,wall_h,verdict
A04,A,abandoned,,koshiba-ws,A03,prism_9mm,1112520,16,"maxCo1.0 maxAlphaCo1.0 maxDeltaT0.02 MULESCorr yes","dt緩和第1段",,,"旧メッシュ前提の計画行. Bメッシュ移行に伴い A12 として実施 (MULESCorrなし版)"
A05,A,abandoned,,koshiba-ws,A04,prism_9mm,1112520,16,"maxCo1.5-2 maxAlphaCo1.5 maxDeltaT0.03 sigma0","dt緩和第2段",,,"旧メッシュ前提の計画行. A12が健全なら第2段をBメッシュ上で新IDで実施"
A11,A,done,20260722,koshiba-ws,B02,hex_5mm_h013,720756,16,"B02のt=30から10s継続. capは現行 (maxCo0.5 maxDeltaT0.01)","A12との公正比較のための参照ラン",10,0.11,"参照確立: dtが10msに100%張り付き, s/step=0.383, wall/sim=38.3, 質量100.0%, Courant max 0.46 → capが唯一の律速と確認. 教訓: 継続ランはstartFrom latestTime必須 (初回はstartTime 0のままクラッシュ)"
A12,A,done,20260722,koshiba-ws,B02,hex_5mm_h013,720756,16,"同区間で maxCo1.0 maxAlphaCo1.0 maxDeltaT0.02","dt緩和第1段 (campaignのA04相当). 健全性必須: 質量100%, alpha有界, IfCo",10,0.05,"全健全性クリアで2.0x: 平均dt=19.96ms (20ms capに50%), s/step不変0.381, wall/sim=19.1, 質量100.0%, alphaMax=1.00002, Courant max=0.92, 界面Co max=0.61 (サブサイクル後~0.3で安全). 採用. 第2段(cap 30ms)は重力波CFL (~1m/s x 20ms / 10mm = 2セル/step) を考慮し当面見送り — 表面力学がメトリクス原料のため"
A13,A,done,20260723,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03のt=600から30s, 半陰的MULES一式 (MULESCorr yes, nLimiterIter3, nAlphaCorr2, nAlphaSubCycles1)","導水路alpha膨張の対策プローブ",30,0.16,"ヌル結果: 導水路alpha超過の成長率はB03と同一 (+0.10%/30s), 質量も同水準99.99%, コスト+5% → 不採用, v1は陽的MULESのまま. 副産物: 欠損の帰属を訂正 — 主因は導水路の幻水(+1e-4 m3)ではなく後半の水槽側クリッピング(-2.6e-3 m3). 新仮説: 深水域(h~100mm)の重力波CFL (1m/s x 20ms = 2セル/step) が界面を荒らす → A14 (t=800からcap10ms復帰の30sプローブ) で切り分ける"
A14,A,done,20260723,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03のt=800から30s, capのみv1に復帰 (maxDeltaT0.01等)","深水域の質量ドリフトがdt由来かの切り分け",30,0.3,"[7/23監査で訂正] 当初『半減』と結論したが基準窓の取り違え: B03自身の同一窓t=800-830は99.72-99.76%でA14の99.74%と差なし (『~99.5%』はt≈850-880の値). よってdt起因の実証は無効, 水深スケジュールcap案も保留. 再判定するなら損失率が大きいt=930からの30sプローブで (t=800はSNR不足). 表面統計のdt依存判別は本ケースの保存場にsurfSample適用で可能 (未実施)"
B03,B,done,20260723,koshiba-ws,B02,hex_5mm_h013,720756,16,"B02構成 + A12のcap緩和 + writeFormat binary. t=0から1000s (水位20→102mm)","フル充填: メッシュ独立性確認 (A00とのバンド平均比較), C系列の原データ (t≈140s偏向チェック)",1000,5.2,"完走 5.20h (18.7:1, 50163ステップ, dt19.94ms=98%cap張り付き, 0.373s/step). 質量: t<600は100.00%, 全体-0.51% (終端水位誤差-0.5mm, 許容). 発見: (1)ポート水没(t=425)後, 導水路の空気ポケット3.7%が気泡として~600sまでに自然排出 — 物理的過程, 実験でもh≈aで気泡が出るか要確認. (2)t>600で満水の導水路内alphaが膨張 (平均1.026@1000, Max1.09) — 界面なし領域でのMULES行き過ぎの蓄積. 質量欠損はここ由来. 対策候補: MULESCorr/nAlphaCorr2をA13で試験. 水槽側の場は健全でC系列・検証用に使用可"
A06,A,planned,,koshiba-ws,A01,prism_9mm,1112520,,"ランク数/ピニング掃引 (8=Pコアのみ vs 16 vs 24)","285K (P8+E16) での最適並列数. 各20s区間",,,
B01,B,done,20260722,koshiba-ws,,hex_5mm_h013,720756,,"blockMeshDict新規作成: 一様鉛直5mm(0-0.11m)+10mm(上部), 天井0.13, x/yはポート近傍10mm-遠方15mm, 常時水没インレット(z<0.02, 44面)","メッシュのみ検証 (checkMesh, パッチ面数, 体積, setFields)",,0.1,"一発合格. セル720,756=X05の0.40x (内部面0.48x), 全て六面体, 体積0.78363=X05と厳密一致, 非直交0/歪みe-13/AR3.0. パッチ面数(44/29729/49317)とsetFields選択数(121,556=水位20.00mm)が事前予測と完全一致. dictはrepo cfd/template/mesh/blockMeshDict"
B02,B,done,20260722,koshiba-ws,B01,hex_5mm_h013,720756,16,"B01メッシュ + v1設定 (laminar/fixedValue1/nCorr2/PCG), t=0から30s","シェイクダウン: 常時水没インレットで序盤dtがどこまで伸びるか, 質量100%か, s/step実測 (目標~0.45)",30,0.34,"全項目合格: s/step=0.377 (X05比5.0x), 平均dt=9.14ms・cap到達65.5% (滝消滅: 序盤からdt~10ms, X05は1.3-2.7ms), 質量100.0%, alphaMax=1.0013(過去最良), 壁:実時間=41:1. 新たな律速はmaxDeltaT 0.01 → cap緩和(A04/A05相当)をBメッシュ上で実施する価値が確定. 1000s換算 ~11.5h"
C01,C,abandoned,,koshiba-ws,B03,hex_5mm,750000,16,"スタート水位30mm(6層,静止)","B1メトリクスのスタート水位感度",,,"[2026-07-25降格] 実験も20mm静水スタートと再確認され, CFD(20mm)と初期条件が一致. スピンアップ非対称の懸念が消滅したため妥当性確認としては不要. 純粋な頑健性チェックとしてなら実施可"
C02,C,abandoned,,koshiba-ws,C01,hex_5mm,750000,16,"スタート水位10mm(2層)","C01で感度大の場合のみ",,,"[2026-07-25降格] C01と同理由. 前提だった『実験は0mmから364s発達』が誤りで, 実験も20mm静水スタート"
D01,D,planned,,koshiba-ws,,hex_5mm,,,"inflow medium 本番 (表面サンプリング1-2Hz)","importer経由で実験と全バンド比較. 検証のコア",,,
D02,D,queued,,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03と同一設定で流入を high 0.75 L/s に (0.orig/U の flowRate 0.0005->0.00075). 充填が1.5倍速いので endTime 700 で h=0.10 に届く","[最優先に格上げ 2026-07-27] これまでのCFDは medium = 実験ですら3負/1正に割れる遷移域でしか試していない. high は実験が4/4決定論的にロックしロック強度も10-13倍 (medium最弱のR0007は1.90) なので, 臨界上での再現性を問える最も感度の高い条件. かつ壁時計 ~3.5h と安い. P09 (細分メッシュ) をどの流量で回すべきかがこの結果に依存するため P09 より先に実施. 判定: 偏り指数が負に振れるか (実験 high は4/4負) + 支配符号面積が60%台に上がるか",700,,
D03,D,planned,,koshiba-ws,D01,hex_5mm,,,"inflow low 本番","優先度低. D01/D02の結果を見て判断",,,
B04,B,abandoned,20260723,koshiba-ws,B03,prism_5mm_h013,1809830,16,"学生の三角柱5mmメッシュ + v1設定 + cap緩和 + binary (テンプレートBC=全断面インレット)","場レベルのメッシュ独立性ペアのつもりだったが, インレット差 (滝復活) でB1/B2が比較不能と判明",40,4,"設計見直しのため t≈40 で正常停止. 教訓: 常時水没インレットはメッシュのパッチ設計であり設定では移植されない — ただし topoSet+createPatch で既存メッシュにも施術可能と判明 → B05 に置換. なお『移植不可』は誤りで『施術3工程を要する』が正確"
A15,A,done,20260724,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03のt=485からWALE LESでB3窓(485-670)再走. nut発達を確認 (WALE実効)","laminar過活性仮説の直接判定",185,1.0,"両軸で効かず: E平均 0.00118 (laminar 0.00115とほぼ同, 実験の~2.7倍のまま), I_circ |平均|/std 0.22 (対称のまま, 破れず). → 散逸仮説(a)は棄却方向. 但し窓182s<振動周期300-370s + 対称初期条件からの再開という限界あり. 粗格子ではWALEのν_t~数値粘性ν_numと同オーダーで上乗せ小. 機構は(b)対称性破れへ"
B05,B,done,20260724,koshiba-ws,B04,prism_5mm_h013,1809830,16,"B04のメッシュに施術: inletOutletを下44面に分割 (上77面=新パッチinletUpperWall, 壁扱い) + v1 + cap緩和 + binary, t=0から1000s","B03との全バンド・メッシュ独立性ペア (インレット条件も一致)","1000",,"完走(質量99.95%, 壁27h). メッシュ独立性+ブランチ判定(7/24): B05三角柱もB03六面体と同じ弱組織化/対称レジーム (深水 |I_circ平均|/std 0.74 vs 0.60, 正%77 vs 71, どちらも強ロックせず). E窓平均は差あり(0.0014 vs 0.00086, 脈動流の位相差)だが両者とも実験の2-3倍. → 対称性破れの失敗はメッシュ非依存(laminarの性質). 補足: 三角柱の小セルで序盤dt~2.6ms(hex~10ms). 手術工程(topoSet/createPatch/BC)はE系列に再利用可"
E01,E,planned,,koshiba-ws,,hex_5mm,,,"流出BC設計 + 排水シェイクダウン (h0.05→0.035, high Q)","outflow BCの妥当性: 体積勾配=-Q, 空気混入なし, alpha有界",,,
E02,E,planned,,koshiba-ws,E01,hex_5mm,,,"outflow high 本番","実験で唯一バンドが解像できているoutflow条件と比較",,,
E03,E,planned,,koshiba-ws,E02,hex_5mm,,,"outflow medium/low (予測ラン)","実験のノイズ床以下のバンドをCFDで補完",,,
P01,P,done,20260724,koshiba-ws,B03,hex_5mm_h013,720756,16,"流入Uに横成分+y 5%バイアス (U=(0.2273,0.0114,0), Q厳密). t=0からフル充填. 他はv1+cap緩和","対称性破れ摂動テスト: CFDが単一渦に組織化しブランチにロックするか(問題1) + ロック後にEが下がるか(問題2). 明確なバイアスでまず能力を確認","1000",,"完走(質量99.5%). 摂動効かず(第3シナリオ): 組織化0.007(B03 0.015より低い), |I_circ平均|/std 0.35(弱いまま), 単一渦にロックせず. E=0.00082(B03 0.00086とほぼ同, 実験の~2倍のまま). ただし摂動は作用(I_circ符号が+→-に反転) → B03の弱い傾きはノイズ準位で対称状態が強いアトラクタ. 残る2解釈: (a)摂動が弱すぎ/不適 (b)モデルが本質的にロック不能(乱流不安定が必須). 判別=強い幾何非対称(P02: 流入上半分のみ)"
P02,P,done,20260725,koshiba-ws,B03,hex_5mm_h013,720756,16,"流入44面の上半分(y>1)のみinlet, 下半分を壁 = 明確な片側注入 (強い幾何非対称)","P01(5%横速度)が効かなかったため強い摂動で判別: (a)摂動設計問題か (b)モデルがロック不能か",1000,,"完走 8.6h, 質量99.1%. [本判定] 摂動効果は深水で消滅: 組織化度が 0.066(t=5-110) → 0.034(浅水30-364) → 0.014(深水485-950) と単調減衰し, 深水では B03無摂動 0.015 と区別不能. |I_circ|/std 0.82 (B03 0.60) も同水準. 実験ロックrep (組織化0.13-0.15, |m|/std~10) には遠い. 浅水では確かに効いた (B03の17-22倍, 実験対称rep R0007 0.025-0.032と同水準) が保持されない. → 結論を修正: 3D laminarは『破れられない』のではなく『破れを保持できない』. 実験は浅水で決まった向きを深水まで保持 → 保持機構=散逸を laminar が欠く. 問題1と問題2が単一原因(乱流散逸の欠如)に統合. 区別不能な2解釈: (a)底20mm固定の流入口が水位100mmでは影響力を失う (b)組織化状態が安定アトラクタでない. 表面データだけでは判別不可. 注: E も P02 は高め (流入速度2倍の直接効果) でエネルギー比較には使えない [7/26訂正: 渦度マップで確認, 本ケースは定常な単一大循環を作っている. 組織化度0.014-0.022が低いのは渦が存在しないからではなく, 渦がコンパクトで厚い逆符号リングに囲まれ面積平均が打ち消すため. 実験は渦が盆地を満たす(逆符号は壁薄層のみ)ので0.21. 差は渦の存在でなく広がり. 回転方向は反時計=R0008と同ブランチ]"
B06,B,done,20260726,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03と同一だがWALE LES (t=0からフル充填). nutを0.origに追加","統合仮説の検証1: 散逸を足すだけでE過剰が直るか",1000,5.4,"完走(質量99.5%). 両軸で失敗 = 統合仮説の処方は本解像度では無効: 変動成分が0.000415→0.000789 (+90%, 減るどころか増)  , E_inst 0.000864→0.001284, 組織化 0.015→0.016 (変わらず). 機構: WALEは設計上滑らかな場・純粋剪断でnut→0. 粗格子laminarは小スケール構造を作れず場が滑らか → センサーが発火せず何も足されない (鶏と卵. 蛇行を殺さない利点がそのまま何も直せない理由). 留保: 465s窓は脈動周期300-370sの1.3周期のみで実現ばらつきが大きい (全バリアントの変動 0.000415-0.00095で1.6-1.9倍) → WALEが増やしたとは断定不可. 堅いのは全バリアントで変動48-62%(実験4-13%)・組織化~0.015(実験0.13-0.15). 含意: 初日にRANSを却下した前提(蛇行は物理)が崩れた → 蛇行の9割は非物理なので, 平均剪断で発火するRANS/Smagorinskyの再考余地 (X05は質量問題で汚染, 要再実行)"
P03,P,done,20260726,koshiba-ws,B06,hex_5mm_h013,720756,16,"WALE LES + P02の幾何非対称 (流入上半分のみ) をフル充填","統合仮説の検証2: 種+散逸で破れを保持できるか",1000,9.0,"完走(質量99.1%). 深水帯: E_inst 0.001090 / 平均流 0.000940 / 変動 0.000149(13.7%) / 組織化 0.022. 決定的な内部整合: P03 と P02 (WALEの有無だけ違う) が E_inst で 0.2%一致 (0.001090 vs 0.001092) → WALEの効果は測定限界以下と確定. 帰結としてB06 vs B03の49%差はWALEでなく実現ばらつきと判明 (B06の『変動+90%』所見は撤回). 組織化 0.022 は実験0.13-0.15の1/6で依然失敗. 全6バリアントの整理: 流入形状がレジームを決める (全幅→脈動43-62%, 上半分→定常10-14%=実験レンジ). 脈動レジームはEのばらつき±49%, 定常レジームは±0.2% → 脈動解の統計を単一ランで論じてはいけない (方法論的知見) [7/26訂正: 渦度マップで確認, 本ケースは定常な単一大循環を作っている. 組織化度0.014-0.022が低いのは渦が存在しないからではなく, 渦がコンパクトで厚い逆符号リングに囲まれ面積平均が打ち消すため. 実験は渦が盆地を満たす(逆符号は壁薄層のみ)ので0.21. 差は渦の存在でなく広がり. 回転方向は反時計=R0008と同ブランチ]"
P04,P,done,20260726,koshiba-ws,B03,hex_5mm_h013,720756,16,"ポート開口部を非対称化: 水槽西壁 x=0 のポート帯11セルのうち片端1セル(y最上端)を壁にする. 他はv1+cap緩和","種の位置を精密化した本命テスト: 整流距離ゼロのポートに種を置けばロックするか. P01/P02は導水路上流端(0.6m)で整流され失敗, Weigertの2Dはculvert縁(=ポート)で成功. 判定: 偏り指数が実験(0.21-0.25)に近づくか + 組織化度が0.13-0.15に届くか",1000,5.3,"完走(質量99.5%). 全指標で失敗: 偏り -0.010 (無摂動B03 +0.076 より小さい), 支配符号面積 50.4% (完全均衡, B03 50.3%と同一, 実験66%), 変動 45.5% (脈動継続, B03 48.0%), E_inst 0.001400 (B03 0.000864より高い). 渦度マップで確認 = 教科書的な上下対称二渦 (上半分 (2.2,1.4) に反時計, 下半分 (2.2,0.6) に時計, y≈1で分離, ジェットは中心線を直進). ポート面積1/11の閉塞は何も生まなかった. → 『種の位置』仮説を棄却. 3種の異なる種 (P01速度傾き / P02位置 / P04ポート閉塞) と分布非対称メッシュ (B05) の全てが壁付着を生まないので, 失敗は種ではなく壁付着 (Coanda) に必要な乱流巻き込み (entrainment) の欠如と判断. 4系統一: 2D SWE-ELM (強い数値拡散) →付着○ / 2D SWE-EM (低拡散) →直進× / 3D laminar・WALE (低拡散) →直進× / 実験 (実乱流) →付着○. WALEが無効だった理由も同一 (滑らかな場で nut→0 = 拡散を供給しない). → 処方は無条件に拡散を与えること: RANS (P06) または数値拡散の増大 (P07 upwind)"
P05,P,done,20260727,koshiba-ws,B03,hex_5mm_h013,720756,16,"対称のまま流入速度2倍: 流入44面のうち上2層 (セル中心 z=0.0125, 0.0175) をtopoSet+createPatchで壁化し, 下2層 (z<0.01) の22面のみ流入. y方向は11セル全部残すので厳密に左右対称. 面積ちょうど半分でQ維持 -> 流入速度 0.2273 -> 0.4545 m/s. 面数22はtopoSetで事前検証済 (2026-07-27). 残る交絡: 注入の鉛直中心が0.010->0.005mに下がる","P02の交絡分離: 脈動停止(変動48%→10%)がジェット剛性(速度2倍)由来か非対称由来かを判定. P02は非対称が整流済みと判明したので速度効果が主因の見込み → これで確認",10001000,7.6,"完走 7.6h (73010ステップ = B03の1.46倍, 速度2倍でCourantが上がりdtが縮んだ. 質量99.56%, bounding/FATAL 0). 深水帯485-950: E_inst 0.001228 / 平均流 0.000492 / 変動 59.9% / 偏り +0.063 / 支配符号 51.6% / 最大塊 38.6% / <|w|> 0.0867. **予測を否定**: 変動は止まるどころか B03 の48.0%より増えて59.9%. 渦度マップも対称二渦でジェットは中心線を直進 (B03/P04/P06/P07と同じトポロジー). → 速度2倍は脈動を止めない, むしろ悪化させる. **7/26の『P02の定常化は非対称でなく速度2倍によるジェット剛性』という交絡判断を撤回**. P02の定常化は非対称注入そのものの効果と確定. 帰結として摂動軸の判定も見直し: P02は変動10.4%/支配符号54.3%/最大塊50.9%の3指標で全CFDケース中最良 (実験5.7/66.0/64.5) であり, 唯一届かないのが偏り指数. 定常化には2経路 (拡散→対称二渦 / 非対称注入→単一渦) があり, 実験と同じトポロジーを作るのは後者だけ. また効く種と効かない種の差は位置ではなく大きさ (P02=流入面積1/2が効き, P01=速度5%とP04=ポート面積1/11は効かない)"
P07,P,done,20260727,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03と同一だが div(rhoPhi,U) を Gauss linearUpwind → Gauss upwind (fvSchemes 1行). 乱流モデルは laminar のまま","拡散仮説の最も直接的な検証: 乱流モデルを一切使わず数値拡散だけを最大化する. ジェットが広がって壁に付着するか. 判定: 偏り指数が ±0.2 に近づくか + 支配符号面積が60%台に上がるか. 意図的に精度を落とす対照ランなので本番設定候補ではない",10001000,4.9,"完走 4.9h (50047ステップ, 質量99.57%, bounding/FATAL 0). 深水帯485-950: E_inst 0.001835 / 平均流 0.001516 / 変動 17.4% / 偏り -0.021 / 支配符号 50.1% / 最大塊 44.9% / <|w|> 0.1463. [P06後の反転予測が的中] 全ケース中もっとも対称 (支配符号50.1%は完全均衡) かつもっとも定常 (変動17.4%). 渦度マップ: 上下半分を埋める巨大なほぼ矩形の二渦, y=1.0にカミソリのような直線境界, ジェットは中心線を遠壁まで直進. → 拡散軸が単調と確定: B03(最小拡散)48.0% -> P06(中)21.9% -> P07(最大)17.4% で変動が単調減少し, 偏りは +0.076/-0.036/-0.021 と一貫してゼロ近傍のまま実験の±0.24に近づかない. **拡散は非定常性を単調に治すが対称性は決して破らない — 拡散仮説は決着(棄却)**. 副次的だが重要: 平均流は 0.000449 -> 0.000888 -> 0.001516 と単調増加し, 実験0.000386に最も近いのは無拡散のB03(1.16x). 拡散は変動誤差(48->17%)と引き換えに平均流誤差(1.16x->3.9x)を作る. → CFDの欠陥はエネルギーや散逸の誤りではなく**トポロジーの誤り**: 対称二渦ブランチを選んでおり, 実験は付着単一渦ブランチを選んでいる. 次の候補は拡散を減らす側 (細メッシュ / 低散逸スキーム) — 最小拡散のB03が最大の|偏り|0.076を持つことも弱いが同方向"
P06,P,done,20260727,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03と同一だが RAS RNG k-epsilon (0/k, 0/epsilon, 0/nut を追加. 壁は低Re型: kLowReWallFunction / epsilonWallFunction / nutLowReWallFunction, y+~2-10). 流入 k=2e-4, epsilon=2e-4 (乱流強度5%, L=0.07*D_h). fvSolution に ''(k|epsilon).*'' ソルバー追加 — 正規表現に .* が必須 (PIMPLE 最終補正子が kFinal/epsilonFinal を引くため, ''(k|epsilon)'' だと初回ステップで即死). fvSchemes に div(phi,k)/div(phi,epsilon) Gauss limitedLinear 1","拡散仮説の本命: 平均剪断で nut を無条件生成するモデルなら壁付着と盆地充填が出るか. 初日にRANSを却下した前提『蛇行は物理』が崩れたため再考. X05 (学生のRANS試行) は質量問題で汚染されており, 質量100%の清浄な条件での初回RANS. コスト予想 +38% (A07実測) = 約7h",10001000,6.6,"完走 6.6h (50135ステップ, 質量99.77% = B03の99.49%より良好, bounding/FATAL 0). 深水帯485-950: E_inst 0.001137 / 平均流 0.000888 / 変動 21.9% / 偏り -0.036 / 支配符号 51.7% / 最大塊 38.7% / <|w|> 0.1125. [判定は割れる] 脈動は半減した (B03 48.0% -> 21.9%) = 拡散は問題2(非定常過多)に確かに効く. しかし対称性は破れず, 偏りは -0.036 (実験 ±0.24), 支配符号 51.7% (実験 66%), 最大塊 38.7% (実験 64.5%) と B03 からほぼ動かない. 渦度マップで構造を確認: laminar より遥かに綺麗な完全対称二渦 (上半分に反時計, 下半分に時計, y=1.0 に直線境界, ジェットは中心線を直進して分岐). つまり RANS は対称状態を不安定化するどころか安定化した. これは粘性理論の予測どおり — 壁付着は対称性破れの分岐であり, 渦粘性は分岐の閾値を上げる. → 『巻き込み不足が付着を妨げている』という P04 後の仮説は符号が逆で棄却方向. 拡散は非定常性を制御するが付着は生まない. P07 (upwind = 数値拡散最大) の予測を反転: さらに対称・定常になるはず. Weigert の 2D で高拡散 ELM が付着した件とは矛盾が残る (ELM の付着はスキームの方向バイアス由来の可能性)"
B07,B,done,20260727,koshiba-ws,B01,hex_fine_h013,2883024,,"blockMeshDict_fine: x-y を2倍細分 (x 217->434, y 63/11/63->126/22/126). z と頂点・境界面は不変. AR 3->1.5","メッシュのみ検証 (checkMesh, パッチ面数, 体積, setFields)",,0.1,"一発合格. セル 2,883,024 = 予測と完全一致 (粗の4.00x). 体積 0.78363 = 粗メッシュと厳密一致 (幾何不変を確認). インレット88面 = 22x4 (予測どおり). setFields 486,224 cells = 水位ちょうど20.00mm. checkMesh: Mesh OK, 非直交0, 歪み5.3e-13, 最大AR 2 (粗の3から改善). y の 126/22/126 はグレーディング1のままなので厳密な鏡像対称を保持. dict は repo cfd/template/mesh/blockMeshDict_fine"
P08,P,queued,,koshiba-ws,B03,hex_5mm_h013,720756,16,"B03と同一だが div(rhoPhi,U) を linearUpwind -> Gauss linear (純中心差分 = 最小散逸). 中心差分は非有界になりうるので, 完走しなければ自動で P08b (Gauss LUST grad(U) = 75%linear+25%linearUpwind) に退避する","拡散軸の低い側を埋める. P07 (最大拡散) の対極. B03 が最小拡散でありながら3ケース中最大の|偏り|0.076を持つことから, 拡散を減らすと偏りが増えるという方向を安価に確認する. 判定: 偏りが 0.076 を超えるか",1000,,
